year,current_round,team1,team2,seed1,seed2,team1_won,kadj_em_diff,kadj_o_diff,kadj_d_diff,barthag_diff,elite_sos_diff,talent_diff,exp_diff,o_rate_diff,d_rate_diff,relative_rating_diff,injury_rank_diff,roster_rank_diff,net_rpi_diff,resume_diff,wab_rank_diff,elo_diff,b_power_diff
2011,2,Connecticut,Butler,3,8,1,6.7095,2.5319999999999965,-4.177400000000006,0.05900000000000005,15.814,17.299999999999997,-1.0350000000000001,1.1386449509999998,1.9284675489999996,3.0671125000000004,,,-19,-58,-47,-18,-29.0
2011,4,Kentucky,Connecticut,4,3,0,3.5685000000000002,2.956000000000003,-0.611699999999999,0.04599999999999993,-5.143999999999998,24.410000000000004,0.20400000000000007,2.204222079999999,1.6889245440000007,3.8931466199999996,,,-7,10,5,-3,-6.0
2011,4,VCU,Butler,11,8,0,-6.24353,-2.709000000000003,3.5349999999999966,-0.131,-1.1869999999999976,4.838000000000001,0.16399999999999992,1.6897988009999985,-2.3709664420000003,-0.681167649999999,,,16,-20,16,24,38.0
2011,8,Kentucky,North Carolina,4,2,1,3.7284000000000006,7.108000000000004,3.380200000000002,0.026999999999999913,-2.735999999999997,-4.274000000000001,0.05899999999999994,2.7379190799999993,-1.7639691200000005,0.9739499599999988,,,1,-17,8,4,-7.0
2011,8,Arizona,Connecticut,5,3,0,-2.8195999999999977,1.132000000000005,3.951599999999999,-0.0020000000000000018,-10.558999999999997,10.81900000000001,0.44699999999999995,1.4254548499999995,-4.415388566,-2.98993372,,,5,55,6,7,9.0
2011,8,Kansas,VCU,1,11,0,19.95183,9.941999999999993,-10.010100000000008,0.256,7.611000000000001,26.451999999999998,-0.1489999999999998,4.505914130000001,7.722942195000001,12.22885633,,,-48,-32,-71,-53,-79.0
2011,8,Butler,Florida,8,2,1,-4.531000000000001,-2.2830000000000013,2.2476000000000056,-0.052000000000000046,-8.150000000000002,-38.321999999999996,0.242,-3.040849550999999,-0.6098564629999998,-3.6507060100000004,,,25,51,43,20,23.0
2011,16,Ohio St.,Kentucky,1,4,0,6.9605,5.882999999999996,-1.0773999999999972,0.027000000000000024,0.38700000000000045,4.448999999999998,0.42799999999999994,5.833733960000002,0.3382816799999997,6.172015649999999,,,-5,-2,-14,-9,-8.0
2011,16,Marquette,North Carolina,11,2,0,-3.4130000000000003,4.971000000000004,8.384,-0.04300000000000004,0.382000000000005,-67.021,0.8199999999999998,1.3301896299999996,-7.933281699000001,-6.603092070000002,,,58,-9,36,56,12.0
2011,16,Duke,Arizona,1,5,0,10.664099999999998,2.7009999999999934,-7.963099999999997,0.06499999999999995,3.965,4.506999999999991,0.27900000000000014,2.955771370000001,7.45161773,10.4073891,,,-15,-44,-13,-16,-22.0
