TEAM,TEAM NO,SEED,KADJ EM,KADJ O,KADJ D,BARTHAG,ELITE SOS,TALENT,EXP,O RATE,D RATE,RELATIVE RATING,INJURY RANK,ROSTER RANK,NET RPI,RESUME,WAB RANK,ELO,B POWER,Q1 W,Q2 W,R64,R32,S16,E8,F4,FINALS,KADJ EM_z,KADJ O_z,BARTHAG_z,ELITE SOS_z,TALENT_z,EXP_z,O RATE_z,RELATIVE RATING_z,RESUME_z,ELO_z,KADJ D_z,D RATE_z,NET RPI_z,WAB RANK_z,INJURY RANK_z,ROSTER RANK_z,model_score
St. John's,1165,5,25.9079,120.068,94.1597,0.941,31.162,70.084,2.3,10.77297487,14.68097591,25.45395078,10.0,12.0,15,22,13,4,15.7,5,11,,,,,,,0.7466780957910328,0.20405614796403282,0.7645601699762096,0.43301228364104805,1.1514846878825262,1.0462597393279822,0.336224552783907,0.9571765585079983,-0.6874477225208424,-0.9532739587870946,1.219397779711861,-1.505137138137899,0.7118599987277199,0.7636154112002873,0.8104857492821289,0.7821615012342742,3.9798385970773644
Tennessee,1163,6,26.0249,121.055,95.0297,0.941,38.555,59.748,1.473,11.17579547,12.34186199,23.51765745,16.0,21.0,20,19,23,39,14.3,6,6,,,,,,,0.7563141652970585,0.33845949667307607,0.7645601699762096,1.032988214894665,0.7761140057705649,-1.1131509371078963,0.39814581519610376,0.7772617097522271,-0.7276539539985523,-0.2642997644617727,1.079218595204815,-1.0712415269370927,0.6398479786243505,0.5921297838501567,0.7214980782091718,0.6690511896191098,3.811539516032153
Vanderbilt,1153,5,27.5051,126.805,99.2995,0.946,37.121,35.964,2.308,16.04931714,7.970568512,24.01988565,14.0,14.0,13,6,9,16,11.7,10,7,,,,,,,0.8782227984835499,1.1214577287672924,0.7898226051357734,0.9166125236437945,-0.08764531150409458,1.0671488389791153,1.1472996921318839,0.823927320403214,-0.9018809570686281,-0.7170542350184128,0.39124493772414876,-0.260385313754065,0.7406648067690678,0.8322096621403395,0.7511606352334909,0.7570258764309044,3.7611479253360605
Nebraska,1181,4,26.1577,118.544,92.3865,0.931,35.291,42.458,2.26,8.269946122,14.16986873,22.43981486,18.0,32.0,14,12,12,20,16.7,9,6,,,,,,,0.76725151598424,-0.0034724269423300367,0.7140352996570825,0.7680996122148588,0.1481961367965125,0.9418142410723168,-0.04853903659106597,0.6771116531684039,-0.8214684941132084,-0.6383143270955189,1.5051055153071398,-1.4103289458737014,0.7262624027483938,0.7807639739353004,0.6918355211848528,0.5308052532005755,3.7320406776260344
Gonzaga,1203,3,28.1006,121.99,93.8895,0.944,24.986,36.781,2.11,11.77925483,14.10526985,25.88452468,12.0,13.0,8,28,17,5,9.7,7,4,,,,,,,0.9272679214821689,0.4657818178918731,0.7797176310719478,-0.06819850378250616,-0.05797446714598,0.5501436226135723,0.4909091082989297,0.9971842561519718,-0.6070352595654228,-0.9335889818063712,1.2629338896587619,-1.3983461303806932,0.8126768268724371,0.6950211602602351,0.7808231922578098,0.7695936888325893,3.5330041701004187
Arkansas,1212,4,26.0527,127.658,101.605,0.934,38.371,80.525,1.457,17.11457705,6.709381875,23.82395893,15.0,11.0,16,17,15,11,19.0,8,8,,,,,,,0.7586037612993453,1.237613814328399,0.7291927607528208,1.0180557691553624,1.5306686364052609,-1.1549291364101624,1.3110505986751522,0.805722368885866,-0.7544581083170254,-0.8154791199220303,0.019770098780477797,-0.026440595619343237,0.697457594707046,0.7293182857302611,0.7363293567213314,0.7947293136359592,3.4412601183866673
Louisville,1188,6,25.4242,124.053,98.6289,0.936,35.248,39.12,2.208,12.54890051,9.289274599,21.83817511,21.0,9.0,17,27,24,32,15.7,8,4,,,,,,,0.7068407725426163,0.7467079662067201,0.7392977348166463,0.7646099645692609,0.026970581756871812,0.8060350933399529,0.6092184304033444,0.6212090050780397,-0.6204373367246594,-0.4020946033268371,0.49929569764417575,-0.5049996434456641,0.6830551906863721,0.5749812211151437,0.6473416856483742,0.8198649384393291,3.3844201763623207
Alabama,1214,4,25.7196,129.004,103.284,0.934,40.729,73.555,1.526,17.28740381,5.920505263,23.20790907,17.0,15.0,18,14,14,23,16.7,7,9,,,,,,,0.7311697890561211,1.420903487441235,0.7291927607528208,1.2094183074883837,1.2775403803758134,-0.97476065191914,1.3376173908347628,0.7484807745103309,-0.7946643397947353,-0.5792593961533484,-0.2507596147681762,0.1198926362934322,0.6686527866656983,0.7464668484652742,0.7066667996970123,0.7444580640292194,3.3630694567695367
Virginia,1150,3,26.7098,122.516,95.8064,0.943,30.582,53.814,1.724,12.64728609,11.48374584,24.13103194,13.0,23.0,10,13,8,6,15.7,8,9,,,,,,,0.8127222337131025,0.5374091344277976,0.7746651440400351,0.3859426177236807,0.5606099783274171,-0.4577554355535971,0.6243421835499218,0.8342547163846459,-0.8080664169539719,-0.9139040048256477,0.9540724197949062,-0.9120646573532749,0.7838720188310894,0.8493582248753525,0.7659919137456503,0.64391556481574,3.2947131464509027
Kansas,1193,4,24.4399,118.33,93.8906,0.928,41.65,57.848,1.629,8.610666895,13.27085144,21.88151833,19.0,18.0,21,7,16,21,21.3,9,7,,,,,,,0.6257742493393579,-0.03261357853679286,0.6988778385613442,1.2841616907813067,0.7071120421470427,-0.705813493910802,0.0038362897805730893,0.625236333350088,-0.8884788799093916,-0.6186293501147955,1.262756651609384,-1.24356509004378,0.6254455746036766,0.7121697229952482,0.6770042426726932,0.7067546268241646,3.2449902822372705
